id,name
1,Health & Beauty
2,Home & Office
3,Phones & Tablets
4,Computer & Accessories
5,Electronics
6,Fashions
7,Baby Products
8,Gaming
9,Sporting Goods
10,Automobiles & Motocycle
11,Other Categories
